Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDevFitness,P0   ,P25  ,P50  ,P75  ,P100 ,MeanPheromone,StandardDevPheromone,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s),PheromoneImageSaved
26,2874.0000,4706.0000,2612.0000,4706.0000,3782.2600,353.2301,2874.0000,3526.5000,3749.0000,4019.0000,4706.0000,0.8205,0.0765,0.7700,0.7700,0.7700,0.8687,1.0000,-34.3800,-59099.3791,0.0582,true
27,2890.0000,4646.0000,2612.0000,4706.0000,3744.9400,371.8949,2890.0000,3520.0000,3777.0000,4006.5000,4646.0000,0.8134,0.0784,0.7623,0.7623,0.7623,0.8601,1.0000,37.3200,57733.6301,0.0646,true
28,3042.0000,4748.0000,2612.0000,4748.0000,3835.2000,365.7866,3042.0000,3615.0000,3888.0000,4072.0000,4748.0000,0.8064,0.0803,0.7547,0.7547,0.7547,0.8515,1.0000,-90.2600,-140424.3535,0.0643,true
29,2966.0000,4452.0000,2612.0000,4748.0000,3672.1800,324.0198,2966.0000,3487.5000,3668.0000,3859.5000,4452.0000,0.7994,0.0822,0.7472,0.7472,0.7472,0.8429,1.0000,163.0200,279847.7678,0.0583,true
30,2548.0000,4540.0000,2548.0000,4748.0000,3719.5600,361.3449,2548.0000,3531.5000,3723.0000,3956.0000,4540.0000,0.7951,0.0819,0.7397,0.7397,0.7397,0.8345,1.0000,-47.3800,-80130.4276,0.0591,true
31,2816.0000,4640.0000,2548.0000,4748.0000,3766.5000,356.5587,2816.0000,3488.5000,3782.0000,3995.0000,4640.0000,0.7908,0.0831,0.7323,0.7323,0.7323,0.8262,1.0000,-46.9400,-82628.7708,0.0568,true
32,2994.0000,4532.0000,2548.0000,4748.0000,3783.4000,322.5236,2994.0000,3571.0000,3752.0000,3974.5000,4532.0000,0.7865,0.0857,0.7250,0.7250,0.7250,0.8415,1.0000,-16.9000,-29503.3143,0.0573,true
33,2888.0000,4556.0000,2548.0000,4748.0000,3657.1800,379.4953,2888.0000,3460.0000,3642.0000,3868.0000,4556.0000,0.7823,0.0895,0.7177,0.7177,0.7177,0.8429,1.0000,126.2200,213375.6185,0.0592,true
34,2712.0000,4434.0000,2548.0000,4748.0000,3702.4200,359.8577,2712.0000,3449.0000,3704.0000,3950.5000,4434.0000,0.7778,0.0936,0.7106,0.7106,0.7106,0.8345,1.0000,-45.2400,-78533.7588,0.0576,true
35,3128.0000,4528.0000,2548.0000,4748.0000,3786.0200,345.2306,3128.0000,3523.5000,3770.0000,4061.5000,4528.0000,0.7730,0.0976,0.7034,0.7034,0.7034,0.8262,1.0000,-83.6000,-139146.8765,0.0601,true
